trait_no,try_no,kernel_name,nfolds,R2_test
1,1,1,10,0.008
1,2,1,10,0.009
1,3,1,10,0.015
1,4,1,10,0.011
1,5,1,10,0.014
1,6,1,10,0.033
1,7,1,10,0.007
1,8,1,10,0.01
1,9,1,10,0.011
1,10,1,10,0.009
1,1,2,10,0.006
1,2,2,10,0.007
1,3,2,10,0.011
1,4,2,10,0.01
1,5,2,10,0.012
1,6,2,10,0.01
1,7,2,10,0.005
1,8,2,10,0.007
1,9,2,10,0.011
1,10,2,10,0.005
2,1,1,10,0.215
2,2,1,10,0.198
2,3,1,10,0.216
2,4,1,10,0.214
2,5,1,10,0.214
2,6,1,10,0.208
2,7,1,10,0.204
2,8,1,10,0.203
2,9,1,10,0.213
2,10,1,10,0.209
2,1,2,10,0.186
2,2,2,10,0.14
2,3,2,10,0.178
2,4,2,10,0.174
2,5,2,10,0.146
2,6,2,10,0.181
2,7,2,10,0.105
2,8,2,10,0.135
2,9,2,10,0.122
2,10,2,10,0.158
3,1,1,10,0.266
3,2,1,10,0.272
3,3,1,10,0.262
3,4,1,10,0.266
3,5,1,10,0.263
3,6,1,10,0.273
3,7,1,10,0.271
3,8,1,10,0.261
3,9,1,10,0.261
3,10,1,10,0.267
3,1,2,10,0.062
3,2,2,10,0.083
3,3,2,10,0.082
3,4,2,10,0.041
3,5,2,10,0.031
3,6,2,10,0.04
3,7,2,10,0.054
3,8,2,10,0.065
3,9,2,10,0.06
3,10,2,10,0.02
4,1,1,10,0.272
4,2,1,10,0.287
4,3,1,10,0.277
4,4,1,10,0.271
4,5,1,10,0.275
4,6,1,10,0.266
4,7,1,10,0.278
4,8,1,10,0.286
4,9,1,10,0.275
4,10,1,10,0.28
4,1,2,10,0.256
4,2,2,10,0.273
4,3,2,10,0.256
4,4,2,10,0.259
4,5,2,10,0.25
4,6,2,10,0.256
4,7,2,10,0.254
4,8,2,10,0.274
4,9,2,10,0.264
4,10,2,10,0.261
5,1,1,10,0.437
5,2,1,10,0.427
5,3,1,10,0.435
5,4,1,10,0.426
5,5,1,10,0.435
5,6,1,10,0.439
5,7,1,10,0.43
5,8,1,10,0.426
5,9,1,10,0.423
5,10,1,10,0.433
5,1,2,10,0.115
5,2,2,10,0.137
5,3,2,10,0.158
5,4,2,10,0.113
5,5,2,10,0.14
5,6,2,10,0.085
5,7,2,10,0.054
5,8,2,10,0.161
5,9,2,10,0.091
5,10,2,10,0.137
6,1,1,10,0.452
6,2,1,10,0.456
6,3,1,10,0.463
6,4,1,10,0.459
6,5,1,10,0.457
6,6,1,10,0.458
6,7,1,10,0.467
6,8,1,10,0.453
6,9,1,10,0.461
6,10,1,10,0.454
6,1,2,10,0.478
6,2,2,10,0.483
6,3,2,10,0.47
6,4,2,10,0.483
6,5,2,10,0.478
6,6,2,10,0.481
6,7,2,10,0.48
6,8,2,10,0.488
6,9,2,10,0.491
6,10,2,10,0.485
7,1,1,10,0.327
7,2,1,10,0.315
7,3,1,10,0.313
7,4,1,10,0.33
7,5,1,10,0.31
7,6,1,10,0.298
7,7,1,10,0.326
7,8,1,10,0.319
7,9,1,10,0.334
7,10,1,10,0.321
7,1,2,10,0.337
7,2,2,10,0.335
7,3,2,10,0.305
7,4,2,10,0.308
7,5,2,10,0.304
7,6,2,10,0.327
7,7,2,10,0.342
7,8,2,10,0.326
7,9,2,10,0.347
7,10,2,10,0.3
8,1,1,10,0.473
8,2,1,10,0.468
8,3,1,10,0.466
8,4,1,10,0.47
8,5,1,10,0.47
8,6,1,10,0.463
8,7,1,10,0.471
8,8,1,10,0.458
8,9,1,10,0.468
8,10,1,10,0.466
8,1,2,10,0.514
8,2,2,10,0.496
8,3,2,10,0.503
8,4,2,10,0.504
8,5,2,10,0.5
8,6,2,10,0.5
8,7,2,10,0.507
8,8,2,10,0.498
8,9,2,10,0.506
8,10,2,10,0.506
9,1,1,10,0.455
9,2,1,10,0.466
9,3,1,10,0.47
9,4,1,10,0.465
9,5,1,10,0.473
9,6,1,10,0.473
9,7,1,10,0.46
9,8,1,10,0.461
9,9,1,10,0.47
9,10,1,10,0.459
9,1,2,10,0.463
9,2,2,10,0.465
9,3,2,10,0.475
9,4,2,10,0.466
9,5,2,10,0.47
9,6,2,10,0.479
9,7,2,10,0.464
9,8,2,10,0.468
9,9,2,10,0.47
9,10,2,10,0.465
10,1,1,10,0.309
10,2,1,10,0.375
10,3,1,10,0.352
10,4,1,10,0.373
10,5,1,10,0.36
10,6,1,10,0.36
10,7,1,10,0.315
10,8,1,10,0.371
10,9,1,10,0.363
10,10,1,10,0.368
10,1,2,10,0.003
10,2,2,10,0.034
10,3,2,10,0.086
10,4,2,10,0.041
10,5,2,10,0.077
10,6,2,10,0.003
10,7,2,10,0.053
10,8,2,10,0.069
10,9,2,10,0.031
10,10,2,10,0.062
11,1,1,10,0.447
11,2,1,10,0.438
11,3,1,10,0.442
11,4,1,10,0.44
11,5,1,10,0.442
11,6,1,10,0.443
11,7,1,10,0.442
11,8,1,10,0.457
11,9,1,10,0.443
11,10,1,10,0.433
11,1,2,10,0.025
11,2,2,10,0.031
11,3,2,10,0.045
11,4,2,10,0.034
11,5,2,10,0.004
11,6,2,10,0.034
11,7,2,10,0.051
11,8,2,10,0.038
11,9,2,10,0.104
11,10,2,10,0.002
12,1,1,10,0.163
12,2,1,10,0.187
12,3,1,10,0.199
12,4,1,10,0.195
